0	-1.5	0.07	
0	-0.1238	0.32	
0	1.1568	0.9824	
0	2.3771	1.5804	
0	3.5618	2.1425	
0	4.7462	2.6547	
0	5.995	3.0682	
0	7.5854	3.0746	
0	10.0701	2.2612	
0	13.7452	0.8047	
0	-1.5	0.97	
0	-1.5	6.37	
0	-1.5	6.5	
0	-1.5	6.76	
0	-1.5	7.06	
0	-1.5	0.05	
0	-1.5	-0.06	
0	-1.5	-0.07	
0	-1.5	-0.07	
0	-1.5	-0.03	
0.6968	-0.293	0.1208	
0.3579	-0.1639	0.2403	
0.9928	-0.5071	0.0013	
1.2212	-0.7949	-0.0684	
1.1112	-1.2022	2.9002	
-0.3548	-0.1757	0.3798	
-0.6854	-0.3127	0.3798	
-0.9712	-0.5287	0.3499	
-1.1933	-0.811	0.3001	
-1.3351	-1.1422	0.2503	
0.6925	1.0847	0.8741	
1.3544	0.8459	0.6869	
2.4211	-0.1021	0.1945	
1.9437	0.4437	0.4604	
2.7289	-0.7687	0.0271	
-0.6858	1.0595	1.0218	
-1.3292	0.8023	0.9725	
-1.897	0.397	0.8347	
-2.352	-0.142	0.6476	
-2.6618	-0.7867	0.4211	
1.0128	2.28	1.4452	
2.0032	1.9697	1.0974	
2.9025	1.4025	0.7304	
3.6356	0.599	0.3826	
4.09	-0.404	0.2474	
-1.0014	2.2375	1.6094	
-1.954	1.8845	1.4645	
-2.8165	1.3165	1.1844	
-3.5459	0.5472	0.769	
-4.075	-0.4081	0.3054	
2.6677	3.1206	1.3907	
1.3375	3.4918	1.8512	
3.9057	2.4057	0.8739	
4.9553	1.3609	0.3289	
4.7275	-0.2332	2.6029	
-1.3074	3.3795	2.1707	
-2.5771	2.9637	1.8888	
-3.7703	2.2703	1.4001	
-5.6063	0.0022	0.1034	
-4.8102	1.2772	0.7893	
1.6702	4.7334	2.2106	
3.3788	4.3523	1.5581	
6.4159	2.2042	0.1624	
5.0144	3.5144	0.8421	
4.7598	-0.2246	5.4824	
-1.6133	4.5212	2.6819	
-3.2351	4.1034	2.1744	
-4.8142	3.3142	1.4493	
-6.6906	0.2927	1.1956	
-6.2183	2.0901	0.6518	
2.0394	6.1114	2.4014	
4.1925	5.7616	1.5267	
6.2543	4.7543	0.73	
8.5194	0.7827	0.7733	
7.6383	2.91	0.7733	
-1.9398	5.7396	3.0682	
-4.0025	5.4325	2.1849	
-7.9111	3.0675	0.2277	
-6.0457	4.5457	1.2409	
-6.66	0.2845	4.1075	
2.4999	7.8299	2.2554	
5.1736	7.461	1.2724	
7.7992	6.2992	0.2977	
7.8135	3.0111	3.1647	
8.7149	0.8351	3.1647	
-2.3782	7.3755	2.9271	
-4.9528	7.0785	1.9032	
-7.6573	6.1573	0.5844	
-9.0007	3.6966	1.2069	
3.1476	10.2471	1.5564	
6.46	9.689	0.6525	
7.8546	3.0348	5.2411	
9.1585	7.6585	0.6142	
8.7606	0.8474	5.2411	
-3.0578	9.9118	1.9701	
-9.4949	7.9949	0.0473	
-6.341	9.4831	0.9359	
4.0317	13.5467	0.4724	
7.7993	12.0089	0.4512	
9.21	7.71	3.025	
-7.9761	12.3151	0.0976	
0	0	0	
